firstname,lastname,username,email,streetaddress,city,zipcode,state,country,department,password,telephone,jobtitle,description,company,ou
"Mike,Smith,Msmith,msmith@SpinnakerTraders.nl,Zuidzijde 40,Gasselternijveenschemond,9515 PJ,Drenthe,Netherlands,Accounting,Roadfox2206,316774668537,Accountant,Accountant,Spinnaker Traders,""OU=Accounting,OU=Users,OU=Spinnaker Traders,DC=SpinnakerTraders,DC=local"""
"Mary,Lennon,Mlennon,mlennon@SpinnakerTraders.nl,Zuidzijde 40,Gasselternijveenschemond,9515 PJ,Drenthe,Netherlands,Development,Roadfox2209,316774668537,Mobile app developer,Mobile app developer,Spinnaker Traders,""OU=Development,OU=Users,OU=Spinnaker Traders,DC=SpinnakerTraders,DC=local"""
"Liam,Jea,LJea,ljea@SpinnakerTraders.nl,Zuidzijde 40,Gasselternijveenschemond,9515 PJ,Drenthe,Netherlands,Development,Roadfox2211,316774668537,Website developer,Website developer,Spinnaker Traders,""OU=Development,OU=Users,OU=Spinnaker Traders,DC=SpinnakerTraders,DC=local"""
"Rich,Froning,rFroning,rfroning@SpinnakerTraders.nl,Zuidzijde 40,Gasselternijveenschemond,9515 PJ,Drenthe,Netherlands,IT,Roadfox2212,316774668537,Application Engineer,Application Engineer,Spinnaker Traders,""OU=IT,OU=Users,OU=Spinnaker Traders,DC=SpinnakerTraders,DC=local"""
"Matthew,Fraser,MFraser,mfraser@SpinnakerTraders.nl,Zuidzijde 40,Gasselternijveenschemond,9515 PJ,Drenthe,Netherlands,IT,Roadfox2213,316774668537,Infrastructure Engineer,Infrastructure Engineer,Spinnaker Traders,""OU=IT,OU=Users,OU=Spinnaker Traders,DC=SpinnakerTraders,DC=local"""
"Dawn,Smith,Dsmith,dsmith@SpinnakerTraders.nl,Zuidzijde 40,Gasselternijveenschemond,9515 PJ,Drenthe,Netherlands,Management,Roadfox2215,316774668537,CEO,CEO,Spinnaker Traders,""OU=Management,OU=Users,OU=Spinnaker Traders,DC=SpinnakerTraders,DC=local"""
"Ivy,Smith,Ismith,ismith@SpinnakerTraders.nl,Zuidzijde 40,Gasselternijveenschemond,9515 PJ,Drenthe,Netherlands,Management,Roadfox2216,316774668537,CFO,CFO,Spinnaker Traders,""OU=Management,OU=Users,OU=Spinnaker Traders,DC=SpinnakerTraders,DC=local"""
"Alice,Jones,AJones,ajones@SpinnakerTraders.nl,Zuidzijde 40,Gasselternijveenschemond,9515 PJ,Drenthe,Netherlands,Marketing & communication,Roadfox2217,316774668537,Head of marketing & communication,Head of marketing & communication,Spinnaker Traders,""OU=Marketing & Communication,OU=Users,OU=Spinnaker Traders,DC=SpinnakerTraders,DC=local"""
"Isabella,Jea,Ijea,ijea@SpinnakerTraders.nl,Zuidzijde 40,Gasselternijveenschemond,9515 PJ,Drenthe,Netherlands,Marketing & communication,Roadfox2218,316774668537,Marketing & communication,Marketing & communication,Spinnaker Traders,""OU=Marketing & Communication,OU=Users,OU=Spinnaker Traders,DC=SpinnakerTraders,DC=local"""
"Jasmin,Lynch,JLynch,JLynch@SpinnakerTraders.nl,Zuidzijde 40,Gasselternijveenschemond,9515 PJ,Drenthe,Netherlands,Office,Roadfox2220,316774668537,Office manager,Office manager,Spinnaker Traders,""OU=Management,OU=Users,OU=Spinnaker Traders,DC=SpinnakerTraders,DC=local"""
"Fred,Smith,Fsmith,fsmith@SpinnakerTraders.nl,Zuidzijde 40,Gasselternijveenschemond,9515 PJ,Drenthe,Netherlands,Sales,Roadfox2221,316774668537,Head of sales,Head of sales,Spinnaker Traders,""OU=Sales,OU=Users,OU=Spinnaker Traders,DC=SpinnakerTraders,DC=local"""
"Sam,Jones,SJones,sjones@SpinnakerTraders.nl,Zuidzijde 40,Gasselternijveenschemond,9515 PJ,Drenthe,Netherlands,Sales,Roadfox2222,316774668537,Sales manager,Sales manager,Spinnaker Traders,""OU=Sales,OU=Users,OU=Spinnaker Traders,DC=SpinnakerTraders,DC=local"""
"Emma,Jea,Ejea,ejea@SpinnakerTraders.nl,Zuidzijde 40,Gasselternijveenschemond,9515 PJ,Drenthe,Netherlands,Sales,Roadfox2224,316774668537,Sales manager,Sales manager,Spinnaker Traders,""OU=Sales,OU=Users,OU=Spinnaker Traders,DC=SpinnakerTraders,DC=local"""
"Emma,Stone,estone,estone@SpinnakerTraders.nl,Zuidzijde 40,Gasselternijveenschemond,9515 PJ,Drenthe,Netherlands,Human Resources,Roadfox2225,316774668537,Human Resources,Human Resources,Spinnaker Traders,""OU=Human Resources,OU=Users,OU=Spinnaker Traders,DC=SpinnakerTraders,DC=local"""
"Archibald,Haddock,Ahaddock,ahaddock@spinnakertraders.nl,Zuidzijde 40,Gasselternijveenschemond,9515 PJ,Drenthe,Netherlands,Expedition,Roadfox2227,316774668537,Captain,Captain,Spinnaker Traders,""OU=Expedition,OU=Users,OU=Spinnaker Traders,DC=SpinnakerTraders,DC=local"""
"Cuthbert,Calculus,Ccalculus,ccalculus@spinnakertraders.nl,Zuidzijde 40,Gasselternijveenschemond,9515 PJ,Drenthe,Netherlands,Expedition,Roadfox2228,316774668537,Professor,Professor,Spinnaker Traders,""OU=Expedition,OU=Users,OU=Spinnaker Traders,DC=SpinnakerTraders,DC=local"""
"Tintin,,tintin,tintin@spinnakertraders.nl,Zuidzijde 40,Gasselternijveenschemond,9515 PJ,Drenthe,Netherlands,Expedition,Roadfox2229,316774668537,Owner,Owner,Spinnaker Traders,""OU=Expedition,OU=Users,OU=Spinnaker Traders,DC=SpinnakerTraders,DC=local"""
